VIN,Year,make-id,model-id,lat,lng,accuracy,dealership-id,log_entry_dt,last_scan_dt
WP1AA2A53LLB01297,2020,49,719,33.016114,-96.826305,3,429,"2020-05-20 17:55:32","2020-05-20 17:55:32"
WP1AA2A58KLB02069,2019,49,719,33.016096,-96.826340,3,429,"2020-05-20 17:55:12","2020-05-20 17:55:12"
WP0CB29915S675632,2005,49,717,33.016030,-96.826412,3,429,"2020-05-20 17:55:00","2020-05-20 17:54:59"
WP0BB2A99KS125520,2019,49,717,33.016034,-96.826387,3,429,"2020-05-20 17:54:53","2020-05-20 17:54:53"
WP0BB2A93KS125447,2019,49,717,33.016042,-96.826356,3,429,"2020-05-20 17:54:47","2020-05-20 17:54:46"
WP0AA2A94JS105771,2018,49,717,33.016041,-96.826322,3,429,"2020-05-20 17:54:40","2020-05-20 17:54:40"
WP0AB2A95HS125051,2017,49,717,33.016041,-96.826290,3,429,"2020-05-20 17:54:33","2020-05-20 17:54:33"
WP0CB2A84HS241129,2017,49,716,33.016071,-96.826211,3,429,"2020-05-20 17:54:11","2020-05-20 17:54:10"
WP0CB2A81KS228541,2019,49,720,33.016052,-96.826166,3,429,"2020-05-20 17:54:04","2020-05-20 17:54:03"
WP0AA2A84KS261057,2019,49,720,33.016071,-96.826117,3,429,"2020-05-20 17:53:41","2020-05-20 17:53:41"
WP0AB2A83GK186243,2016,49,723,33.016067,-96.826080,3,429,"2020-05-20 17:53:34","2020-05-20 17:53:33"
WP1AA2AY9LDA05999,2020,49,722,33.014036,-96.797902,3,429,"2020-05-20 17:07:13","2020-05-20 17:07:13"
WP1AA2AYXLDA06031,2020,49,722,33.014088,-96.797837,3,429,"2020-05-20 17:06:18","2020-05-20 17:06:17"
WP1AA2AY6LDA05992,2020,49,722,33.014184,-96.797906,3,429,"2020-05-20 17:05:50","2020-05-20 17:05:47"
WP1AA2A55JLB14372,2018,49,719,41.273822,-75.805187,3,395,"2020-05-20 16:52:14","2020-05-20 16:52:12"
WP1AB2A59LLB35984,2020,49,719,41.273854,-75.805173,3,395,"2020-05-20 16:51:38","2020-05-20 16:51:37"
